"日期","收市","開市","高","低","成交量","更改%"
"2015年6月5日","209.77","209.95","210.58","208.98","121.70M","-0.17%"
"2015年6月4日","210.13","211.07","211.86","209.75","151.88M","-0.84%"
"2015年6月3日","211.92","212.00","212.67","211.33","87.82M","0.26%"
"2015年6月2日","211.36","211.02","212.19","210.27","91.53M","-0.10%"
"2015年6月1日","211.57","211.94","212.34","210.62","93.34M","0.20%"
"2015年5月29日","211.14","212.38","212.43","210.82","124.92M","-0.62%"
"2015年5月28日","212.46","212.33","212.59","211.63","74.97M","-0.11%"
"2015年5月27日","212.70","211.25","212.98","210.76","93.21M","0.95%"
"2015年5月26日","210.70","212.40","212.91","210.20","124.31M","-1.08%"
"2015年5月22日","212.99","213.04","213.54","212.91","57.43M","-0.24%"
"2015年5月21日","213.50","212.71","213.75","212.51","64.76M","0.29%"
"2015年5月20日","212.88","213.15","213.78","212.50","76.86M","-0.07%"
"2015年5月19日","213.03","213.24","213.57","212.69","72.11M","-0.03%"
"2015年5月18日","213.10","212.24","213.40","212.16","74.55M","0.31%"
"2015年5月15日","212.44","212.44","212.61","211.86","76.51M","0.11%"
"2015年5月14日","212.21","211.24","212.32","210.91","95.93M","1.04%"
"2015年5月13日","210.02","210.47","211.22","209.74","94.67M","0.02%"
"2015年5月12日","209.98","209.61","210.63","208.62","119.73M","-0.29%"
"2015年5月11日","210.60","211.57","211.89","210.52","75.71M","-0.48%"
"2015年5月8日","211.62","210.88","211.86","210.78","155.88M","1.32%"
"2015年5月7日","208.87","207.92","209.38","207.52","88.24M","0.40%"
"2015年5月6日","208.04","209.56","209.93","206.76","135.06M","-0.41%"
"2015年5月5日","208.90","211.03","211.46","208.73","113.33M","-1.15%"
"2015年5月4日","211.32","211.23","212.02","211.10","70.93M","0.28%"
"2015年5月1日","210.72","209.40","210.77","209.28","103.40M","1.08%"
"2015年4月30日","208.46","209.88","210.35","207.62","161.30M","-1.00%"
"2015年4月29日","210.57","210.37","211.29","209.60","125.68M","-0.41%"
"2015年4月28日","211.44","210.74","211.50","209.33","86.86M","0.32%"
"2015年4月27日","210.77","212.33","212.48","210.54","79.36M","-0.42%"
"2015年4月24日","211.65","211.66","211.97","211.11","61.33M","0.23%"
"2015年4月23日","211.16","210.15","211.94","210.01","102.59M","0.25%"
"2015年4月22日","210.63","210.01","210.85","208.90","78.26M","0.49%"
"2015年4月21日","209.60","210.67","210.86","209.24","72.56M","-0.12%"
"2015年4月20日","209.85","209.06","210.25","208.96","92.19M","0.91%"
"2015年4月17日","207.95","208.94","209.23","207.01","191.11M","-1.15%"
"2015年4月16日","210.37","210.03","210.98","209.79","68.93M","-0.03%"
"2015年4月15日","210.43","210.05","211.04","209.95","99.53M","0.45%"
"2015年4月14日","209.49","208.85","209.71","208.10","75.10M","0.19%"
"2015年4月13日","209.09","209.87","210.63","209.03","74.44M","-0.45%"
"2015年4月10日","210.04","209.20","210.09","208.96","72.72M","0.55%"
"2015年4月9日","208.90","207.78","209.18","207.19","85.55M","0.45%"
"2015年4月8日","207.97","207.55","208.51","207.08","89.35M","0.33%"
"2015年4月7日","207.28","207.85","208.76","207.24","81.24M","-0.26%"
"2015年4月6日","207.83","205.37","208.45","205.21","114.37M","0.67%"
"2015年4月2日","206.44","205.62","206.98","205.40","86.90M","0.36%"
"2015年4月1日","205.70","206.39","206.42","204.51","137.30M","-0.35%"
"2015年3月31日","206.43","207.26","208.10","206.36","126.77M","-0.87%"
"2015年3月30日","208.25","206.98","208.61","206.96","96.18M","1.22%"
"2015年3月27日","205.74","205.13","205.95","204.90","118.94M","0.23%"
"2015年3月26日","205.27","204.96","206.37","204.12","153.07M","-0.24%"
"2015年3月25日","205.76","209.07","209.35","205.71","159.52M","-1.47%"
"2015年3月24日","208.82","209.85","210.40","208.74","77.81M","-0.56%"
"2015年3月23日","210.00","210.42","211.11","210.00","71.78M","-0.19%"
"2015年3月20日","210.41","209.71","211.02","209.49","177.72M","0.43%"
"2015年3月19日","209.50","209.96","210.47","209.03","117.92M","-0.46%"
"2015年3月18日","210.46","207.39","211.27","206.62","228.81M","1.20%"
"2015年3月17日","207.96","207.69","208.42","206.98","94.51M","-0.30%"
"2015年3月16日","208.58","206.71","208.69","205.86","136.10M","1.34%"
"2015年3月13日","205.83","206.77","207.93","204.58","162.41M","-0.61%"
"2015年3月12日","207.10","205.26","207.18","205.20","93.99M","1.27%"
"2015年3月11日","204.50","205.29","205.50","204.40","110.15M","-0.23%"
"2015年3月10日","204.98","206.71","206.81","204.93","157.12M","-1.62%"
"2015年3月9日","208.36","207.74","208.79","207.55","89.82M","0.41%"
"2015年3月6日","207.50","209.42","209.94","207.10","188.13M","-1.41%"
"2015年3月5日","210.46","210.62","210.80","209.85","76.87M","0.11%"
"2015年3月4日","210.23","210.40","210.49","209.06","114.50M","-0.42%"
"2015年3月3日","211.12","211.47","212.05","210.08","110.33M","-0.41%"
"2015年3月2日","211.99","210.78","212.06","210.72","87.49M","0.63%"
"2015年2月27日","210.66","211.26","211.58","210.60","108.08M","-0.34%"
"2015年2月26日","211.38","211.52","211.71","210.65","72.70M","-0.12%"
"2015年2月25日","211.63","211.66","212.24","211.22","73.06M","-0.08%"
"2015年2月24日","211.81","211.12","212.05","210.76","72.47M","0.28%"
"2015年2月23日","211.21","210.94","211.21","210.48","74.41M","-0.01%"
"2015年2月20日","211.24","209.48","211.33","208.73","140.90M","0.60%"
"2015年2月19日","209.98","209.41","210.42","209.24","91.46M","-0.07%"
"2015年2月18日","210.13","209.66","210.22","209.34","80.65M","0.01%"
"2015年2月17日","210.11","209.40","210.32","209.10","76.97M","0.16%"
"2015年2月13日","209.78","209.07","209.84","208.76","93.67M","0.41%"
"2015年2月12日","208.92","207.89","208.99","206.97","97.55M","0.96%"
"2015年2月11日","206.93","206.61","207.45","205.83","91.09M","0.06%"
"2015年2月10日","206.81","205.88","207.12","204.68","96.16M","1.07%"
"2015年2月9日","204.63","204.77","205.64","204.13","87.22M","-0.45%"
"2015年2月6日","205.55","206.56","207.24","204.92","125.67M","-0.28%"
"2015年2月5日","206.12","204.86","206.30","204.77","97.95M","1.01%"
"2015年2月4日","204.06","203.92","205.38","203.51","134.31M","-0.38%"
"2015年2月3日","204.84","203.00","204.85","202.55","124.21M","1.45%"
"2015年2月2日","201.92","200.05","202.03","197.86","163.11M","1.24%"
"2015年1月30日","199.45","200.57","202.17","199.13","197.73M","-1.26%"
"2015年1月29日","201.99","200.38","202.30","198.68","173.59M","0.92%"
"2015年1月28日","200.14","204.17","204.29","199.91","168.51M","-1.28%"
"2015年1月27日","202.74","202.97","204.12","201.74","134.04M","-1.32%"
"2015年1月26日","205.45","204.71","205.56","203.85","92.01M","0.23%"
"2015年1月23日","204.97","205.79","206.10","204.81","117.52M","-0.55%"
"2015年1月22日","206.10","203.99","206.26","202.33","174.36M","1.49%"
"2015年1月21日","203.08","201.50","203.66","200.94","122.94M","0.50%"
"2015年1月20日","202.06","202.40","202.72","200.17","130.99M","0.21%"
"2015年1月16日","201.63","198.77","201.82","198.55","211.88M","1.31%"
"2015年1月15日","199.02","201.63","202.01","198.88","176.61M","-0.92%"
"2015年1月14日","200.86","199.65","201.10","198.57","192.99M","-0.60%"
"2015年1月13日","202.08","204.12","205.48","200.51","214.55M","-0.28%"
"2015年1月12日","202.65","204.41","204.60","201.92","144.40M","-0.78%"
"2015年1月9日","204.25","206.40","206.42","203.51","158.57M","-0.80%"
"2015年1月8日","205.90","204.01","206.16","203.99","147.22M","1.77%"
"2015年1月7日","202.31","201.42","202.72","200.88","125.35M","1.25%"
"2015年1月6日","199.82","202.09","202.72","198.85","209.15M","-0.94%"
"2015年1月5日","201.72","204.17","204.37","201.35","169.63M","-1.81%"
"2015年1月2日","205.43","206.38","206.88","204.18","121.47M","-0.05%"
"2014年12月31日","205.54","207.99","208.19","205.39","130.33M","-0.99%"
"2014年12月30日","207.60","208.21","208.37","207.51","73.54M","-0.54%"
"2014年12月29日","208.72","208.22","208.97","208.14","79.64M","0.13%"
"2014年12月26日","208.44","208.31","208.85","208.25","57.33M","0.32%"
"2014年12月24日","207.77","208.02","208.34","207.72","42.96M","0.01%"
"2014年12月23日","207.75","208.17","208.23","207.40","122.17M","0.13%"
"2014年12月22日","207.47","206.75","207.47","206.46","148.32M","0.46%"
"2014年12月19日","206.52","206.43","207.33","205.61","245.08M","-0.13%"
"2014年12月18日","206.78","204.74","212.97","203.92","257.63M","2.47%"
"2014年12月17日","201.79","198.44","202.34","198.29","253.91M","1.96%"
"2014年12月16日","197.91","198.58","202.40","197.86","259.54M","-0.80%"
"2014年12月15日","199.51","201.98","202.53","198.78","189.97M","-0.69%"
"2014年12月12日","200.89","202.64","203.82","200.85","202.33M","-1.62%"
"2014年12月11日","204.19","203.88","206.19","203.71","159.01M","0.51%"
"2014年12月10日","203.16","205.91","205.98","202.93","159.86M","-1.60%"
"2014年12月9日","206.47","204.37","206.60","203.91","125.18M","-0.07%"
"2014年12月8日","206.61","207.52","208.12","205.93","108.59M","-0.67%"
"2014年12月5日","208.00","207.87","208.47","207.55","91.03M","0.16%"
"2014年12月4日","207.66","207.54","208.26","206.70","91.32M","-0.11%"
"2014年12月3日","207.89","207.30","208.15","207.10","68.95M","0.39%"
"2014年12月2日","207.09","205.81","207.34","205.78","74.51M","0.65%"
"2014年12月1日","205.76","206.40","206.54","205.38","103.97M","-0.69%"
"2014年11月28日","207.20","207.49","207.87","206.91","57.89M","-0.21%"
"2014年11月26日","207.64","207.29","207.76","207.03","62.17M","0.26%"
"2014年11月25日","207.11","207.54","207.79","206.80","79.11M","-0.07%"
"2014年11月24日","207.26","207.17","207.39","206.91","65.88M","0.28%"
"2014年11月21日","206.68","207.64","207.84","205.98","142.33M","0.54%"
"2014年11月20日","205.58","204.26","205.71","204.18","72.84M","0.18%"
"2014年11月19日","205.22","205.31","205.55","204.30","82.37M","-0.16%"
"2014年11月18日","205.55","204.44","205.92","204.44","76.07M","0.58%"
"2014年11月17日","204.37","203.85","204.58","203.65","80.44M","0.06%"
"2014年11月14日","204.24","204.10","204.49","203.72","80.42M","0.02%"
"2014年11月13日","204.19","204.16","204.83","203.21","85.36M","0.11%"
"2014年11月12日","203.96","203.35","204.24","203.31","90.12M","-0.11%"
"2014年11月11日","204.18","204.06","204.31","203.65","54.50M","0.10%"
"2014年11月10日","203.98","203.38","204.04","203.13","66.32M","0.31%"
"2014年11月7日","203.34","203.17","203.60","202.61","89.54M","0.09%"
"2014年11月6日","203.15","202.39","203.26","201.64","107.09M","0.40%"
"2014年11月5日","202.34","202.54","202.59","201.45","91.71M","0.63%"
"2014年11月4日","201.07","201.23","201.60","200.06","93.34M","-0.35%"
"2014年11月3日","201.77","201.92","202.45","201.31","93.73M","0.05%"
"2014年10月31日","201.66","201.78","201.82","200.77","146.90M","1.14%"
"2014年10月30日","199.38","197.58","199.95","197.40","113.33M","0.64%"
"2014年10月29日","198.11","198.55","199.12","196.80","142.56M","-0.15%"
"2014年10月28日","198.41","196.82","198.42","196.73","106.74M","1.15%"
"2014年10月27日","196.16","195.73","196.45","195.03","82.95M","-0.14%"
"2014年10月24日","196.43","195.25","196.49","194.49","117.93M","0.77%"
"2014年10月23日","194.93","194.62","196.20","194.26","154.94M","1.16%"
"2014年10月22日","192.69","194.41","194.91","192.61","151.82M","-0.71%"
"2014年10月21日","194.07","191.68","194.20","191.48","154.95M","1.98%"
"2014年10月20日","190.30","188.13","190.45","188.07","130.01M","0.97%"
"2014年10月17日","188.47","188.42","189.75","187.62","214.62M","1.18%"
"2014年10月16日","186.27","183.06","187.58","182.89","270.39M","-0.09%"
"2014年10月15日","186.43","185.16","187.69","181.92","380.71M","-0.68%"
"2014年10月14日","187.70","188.42","189.82","187.04","215.85M","0.15%"
"2014年10月13日","187.41","190.46","191.15","187.30","230.94M","-1.64%"
"2014年10月10日","190.54","192.69","193.65","190.49","221.91M","-1.14%"
"2014年10月9日","192.74","196.33","196.60","192.58","210.70M","-1.98%"
"2014年10月8日","196.64","193.37","196.92","192.36","186.46M","1.75%"
"2014年10月7日","193.26","195.28","195.72","193.22","147.91M","-1.54%"
"2014年10月6日","196.29","197.34","197.60","195.58","104.78M","-0.12%"
"2014年10月3日","196.52","195.68","196.94","195.08","121.57M","1.10%"
"2014年10月2日","194.38","194.18","195.06","192.35","157.29M","0.02%"
"2014年10月1日","194.35","196.70","196.77","193.91","177.80M","-1.36%"
"2014年9月30日","197.02","197.69","198.30","196.61","131.30M","-0.26%"
"2014年9月29日","197.54","196.20","197.89","196.05","95.11M","-0.18%"
"2014年9月26日","197.90","196.70","198.39","196.42","103.55M","0.79%"
"2014年9月25日","196.34","199.04","199.05","196.27","150.30M","-1.61%"
"2014年9月24日","199.56","198.04","199.69","197.52","107.28M","0.78%"
"2014年9月23日","198.01","198.43","199.26","197.95","111.39M","-0.57%"
"2014年9月22日","199.15","200.35","200.38","198.73","125.55M","-0.77%"
"2014年9月19日","200.70","201.52","201.90","200.29","121.65M","-0.55%"
"2014年9月18日","201.82","201.36","201.85","201.10","94.99M","0.53%"
"2014年9月17日","200.75","200.77","201.68","199.75","151.27M","0.13%"
"2014年9月16日","200.48","198.61","200.84","198.50","116.20M","0.75%"
"2014年9月15日","198.98","199.16","199.32","198.38","76.40M","-0.08%"
"2014年9月12日","199.13","200.10","200.12","198.56","117.48M","-0.58%"
"2014年9月11日","200.30","199.27","200.33","199.12","66.82M","0.11%"
"2014年9月10日","200.07","199.43","200.20","198.77","67.25M","0.38%"
"2014年9月9日","199.32","200.41","200.55","198.91","88.59M","-0.63%"
"2014年9月8日","200.59","200.92","201.21","200.00","64.15M","-0.26%"
"2014年9月5日","201.11","200.17","201.19","199.41","102.18M","0.45%"
"2014年9月4日","200.21","200.84","201.58","199.66","85.24M","-0.14%"
"2014年9月3日","200.50","201.38","201.41","200.22","57.46M","-0.05%"
"2014年9月2日","200.61","200.97","201.00","199.86","72.43M","-0.05%"
"2014年8月29日","200.71","200.45","200.73","199.82","65.91M","0.28%"
"2014年8月28日","200.14","199.59","200.27","199.39","58.33M","-0.05%"
"2014年8月27日","200.25","200.43","200.57","199.94","47.87M","-0.04%"
"2014年8月26日","200.33","200.33","200.82","200.28","47.30M","0.06%"
"2014年8月25日","200.20","200.14","200.59","199.15","63.86M","0.51%"
"2014年8月22日","199.19","199.34","199.69","198.74","76.11M","-0.16%"
"2014年8月21日","199.50","199.09","199.76","198.93","67.79M","0.29%"
"2014年8月20日","198.92","198.12","199.16","198.08","72.76M","0.27%"
"2014年8月19日","198.39","197.84","198.54","197.44","59.13M","0.52%"
"2014年8月18日","197.36","196.80","197.45","196.69","75.42M","0.84%"
"2014年8月15日","195.72","196.47","196.65","194.31","139.95M","-0.02%"
"2014年8月14日","195.76","195.16","195.76","194.98","57.37M","0.47%"
"2014年8月13日","194.84","194.29","195.06","193.96","69.05M","0.68%"
"2014年8月12日","193.53","193.61","194.15","192.94","73.63M","-0.13%"
"2014年8月11日","193.79","193.97","194.66","193.71","74.54M","0.28%"
"2014年8月8日","193.24","191.46","193.37","190.95","117.01M","1.16%"
"2014年8月7日","191.03","192.94","193.13","190.55","135.73M","-0.54%"
"2014年8月6日","192.07","191.11","192.89","191.08","94.82M","0.03%"
"2014年8月5日","192.01","193.10","193.60","191.31","152.69M","-0.97%"
"2014年8月4日","193.89","192.87","194.30","192.05","91.34M","0.72%"
"2014年8月1日","192.50","192.56","193.76","191.57","189.26M","-0.31%"
"2014年7月31日","193.09","195.61","195.78","192.97","183.48M","-1.97%"
"2014年7月30日","196.98","197.65","197.91","196.16","104.22M","0.02%"
"2014年7月29日","196.95","198.17","198.45","196.92","80.47M","-0.43%"
"2014年7月28日","197.80","197.76","198.09","196.62","69.26M","0.04%"
"2014年7月25日","197.72","198.09","198.26","197.33","76.84M","-0.47%"
"2014年7月24日","198.65","198.83","199.06","198.45","56.89M","0.01%"
"2014年7月23日","198.64","198.50","198.85","198.10","65.61M","0.22%"
"2014年7月22日","198.20","198.01","198.56","197.87","67.68M","0.44%"
"2014年7月21日","197.34","197.09","197.50","196.43","67.59M","-0.19%"
"2014年7月18日","197.71","196.35","197.91","196.24","124.33M","1.02%"
"2014年7月17日","195.71","197.35","198.10","195.43","145.40M","-1.14%"
"2014年7月16日","197.96","198.11","198.26","197.42","80.07M","0.37%"
"2014年7月15日","197.23","197.72","198.10","196.36","111.35M","-0.19%"
"2014年7月14日","197.60","197.61","197.86","197.44","58.66M","0.50%"
"2014年7月11日","196.61","196.22","196.75","195.78","64.24M","0.14%"
"2014年7月10日","196.34","195.22","196.86","195.06","99.04M","-0.40%"
"2014年7月9日","197.12","196.73","197.29","196.31","72.99M","0.45%"
"2014年7月8日","196.24","197.15","197.22","195.76","108.14M","-0.64%"
"2014年7月7日","197.51","197.82","197.98","197.22","61.70M","-0.35%"
"2014年7月3日","198.20","197.79","198.29","197.64","52.94M","0.49%"
"2014年7月2日","197.23","197.05","197.48","196.96","52.47M","0.10%"
"2014年7月1日","197.03","196.20","197.63","196.13","90.47M","0.67%"
"2014年6月30日","195.72","195.70","196.16","195.53","70.50M","-0.05%"
"2014年6月27日","195.82","194.98","195.88","194.88","71.45M","0.19%"
"2014年6月26日","195.44","195.61","195.63","194.13","84.31M","-0.07%"
"2014年6月25日","195.58","194.29","195.78","194.25","82.78M","0.45%"
"2014年6月24日","194.70","195.53","196.50","194.48","96.24M","-0.60%"
"2014年6月23日","195.88","195.99","196.05","195.52","70.61M","-0.03%"
"2014年6月20日","195.94","196.03","196.10","195.70","100.59M","-0.27%"
"2014年6月19日","196.48","196.43","196.60","195.80","85.93M","0.12%"
"2014年6月18日","196.25","194.83","196.37","194.40","105.27M","0.73%"
"2014年6月17日","194.83","194.02","194.97","193.81","84.83M","0.28%"
"2014年6月16日","194.29","193.89","194.70","193.66","87.42M","0.08%"
"2014年6月13日","194.13","193.92","194.32","193.30","82.02M","0.30%"
"2014年6月12日","193.54","194.69","194.80","193.11","106.35M","-0.71%"
"2014年6月11日","194.92","194.90","195.12","194.48","68.77M","-0.35%"
"2014年6月10日","195.60","195.34","195.64","194.92","57.13M","0.01%"
"2014年6月9日","195.58","195.35","196.05","195.17","65.12M","0.10%"
"2014年6月6日","195.38","194.87","195.43","194.78","78.70M","0.48%"
"2014年6月5日","194.45","193.41","194.65","192.70","92.10M","0.65%"
"2014年6月4日","193.19","192.47","193.30","192.26","55.53M","0.20%"
"2014年6月3日","192.80","192.43","192.90","192.25","65.05M","-0.05%"
"2014年6月2日","192.90","192.95","192.99","191.97","64.66M","0.11%"
"2014年5月30日","192.68","192.19","192.80","192.03","76.32M","0.16%"
"2014年5月29日","192.37","191.82","192.40","191.33","64.38M","0.52%"
"2014年5月28日","191.38","191.52","191.82","191.06","66.72M","-0.07%"
"2014年5月27日","191.52","191.06","191.58","190.95","72.01M","0.61%"
"2014年5月23日","190.35","189.76","190.48","189.59","60.16M","0.40%"
"2014年5月22日","189.59","189.18","189.98","188.86","61.55M","0.24%"
"2014年5月21日","189.13","188.09","189.22","188.06","89.09M","0.84%"
"2014年5月20日","187.55","188.65","188.67","187.07","111.64M","-0.63%"
"2014年5月19日","188.74","187.69","188.89","187.52","63.84M","0.37%"
"2014年5月16日","188.05","187.51","188.13","186.72","97.46M","0.35%"
"2014年5月15日","187.40","188.68","188.72","186.48","154.96M","-0.88%"
"2014年5月14日","189.06","189.79","189.88","188.79","72.37M","-0.47%"
"2014年5月13日","189.96","190.04","190.42","189.77","66.45M","0.09%"
"2014年5月12日","189.78","188.80","189.88","188.00","86.94M","0.97%"
"2014年5月9日","187.96","187.71","188.04","186.83","83.68M","0.15%"
"2014年5月8日","187.68","187.71","189.05","187.08","93.62M","-0.11%"
"2014年5月7日","187.88","187.41","187.97","186.01","106.50M","0.59%"
"2014年5月6日","186.78","188.00","188.13","186.74","85.45M","-0.87%"
"2014年5月5日","188.42","187.14","188.55","186.62","75.88M","0.19%"
"2014年5月2日","188.06","188.31","189.14","187.78","98.12M","-0.14%"
"2014年5月1日","188.32","188.22","188.84","187.73","93.02M","0.01%"
"2014年4月30日","188.31","187.44","188.50","187.18","101.51M","0.30%"
"2014年4月29日","187.75","187.48","188.04","187.08","84.10M","0.47%"
"2014年4月28日","186.88","187.05","187.69","184.96","135.12M","0.32%"
"2014年4月25日","186.29","187.22","187.33","185.87","100.38M","-0.82%"
"2014年4月24日","187.83","188.37","188.39","186.93","88.17M","0.20%"
"2014年4月23日","187.45","187.82","187.92","187.30","73.87M","-0.23%"
"2014年4月22日","187.89","187.23","188.40","187.13","85.79M","0.45%"
"2014年4月21日","187.04","186.44","187.10","186.21","68.33M","0.35%"
"2014年4月17日","186.39","185.88","186.91","185.56","105.25M","0.15%"
"2014年4月16日","186.12","185.47","186.14","184.65","105.20M","1.04%"
"2014年4月15日","184.20","183.32","184.33","181.51","157.09M","0.69%"
"2014年4月14日","182.94","182.93","183.37","181.44","132.38M","0.79%"
"2014年4月11日","181.51","182.14","183.42","181.31","167.25M","-0.90%"
"2014年4月10日","183.16","187.08","187.17","182.93","172.96M","-2.10%"
"2014年4月9日","187.09","185.60","187.15","185.06","100.25M","1.08%"
"2014年4月8日","185.10","184.26","185.40","183.59","112.66M","0.41%"
"2014年4月7日","184.34","185.95","186.26","183.96","140.80M","-1.11%"
"2014年4月4日","186.40","189.66","189.70","186.10","169.38M","-1.18%"
"2014年4月3日","188.63","189.17","189.22","188.05","77.44M","-0.13%"
"2014年4月2日","188.88","188.49","189.13","188.14","78.77M","0.33%"
"2014年4月1日","188.25","187.62","188.36","187.00","89.19M","0.66%"
"2014年3月31日","187.01","186.67","187.30","185.52","99.74M","0.82%"
"2014年3月28日","185.49","185.10","186.42","185.00","101.64M","0.49%"
"2014年3月27日","184.58","184.75","185.34","183.90","142.38M","-0.21%"
"2014年3月26日","184.97","187.04","187.34","184.92","119.84M","-0.72%"
"2014年3月25日","186.31","186.37","186.94","185.27","103.85M","0.47%"
"2014年3月24日","185.43","186.84","187.07","184.62","121.41M","-0.41%"
"2014年3月21日","186.20","187.71","189.02","186.03","163.13M","-0.83%"
"2014年3月20日","187.75","186.25","187.89","185.92","117.24M","0.58%"
"2014年3月19日","186.66","187.68","187.94","185.47","176.27M","-0.53%"
"2014年3月18日","187.66","186.71","187.91","186.51","101.80M","0.71%"
"2014年3月17日","186.33","185.59","186.77","185.51","98.36M","0.90%"
"2014年3月14日","184.66","184.85","185.80","184.44","153.92M","-0.28%"
"2014年3月13日","185.18","187.84","187.99","184.66","155.01M","-1.12%"
"2014年3月12日","187.28","186.32","187.35","185.90","104.82M","0.03%"
"2014年3月11日","187.23","188.44","188.71","186.80","99.01M","-0.49%"
"2014年3月10日","188.16","187.97","188.23","187.08","74.94M","-0.05%"
"2014年3月7日","188.26","188.96","188.96","187.43","114.51M","0.04%"
"2014年3月6日","188.18","188.21","188.61","187.78","82.52M","0.23%"
"2014年3月5日","187.75","187.74","188.07","187.45","88.38M","0.09%"
"2014年3月4日","187.58","186.79","187.98","186.75","167.55M","1.41%"
"2014年3月3日","184.98","184.65","185.45","183.75","167.75M","-0.70%"
"2014年2月28日","186.29","185.79","187.15","185.05","150.84M","0.25%"
"2014年2月27日","185.82","184.58","185.87","184.37","93.88M","0.52%"
"2014年2月26日","184.85","185.11","185.60","184.33","98.68M","0.01%"
"2014年2月25日","184.84","185.06","185.59","184.23","117.08M","-0.04%"
"2014年2月24日","184.91","184.28","186.15","184.20","114.06M","0.55%"
"2014年2月21日","183.89","184.45","184.89","183.80","118.12M","-0.11%"
"2014年2月20日","184.10","183.27","184.52","182.60","105.00M","0.59%"
"2014年2月19日","183.02","183.76","184.95","182.87","126.52M","-0.66%"
"2014年2月18日","184.24","184.18","184.49","183.65","80.46M","0.12%"
"2014年2月14日","184.02","182.84","184.36","182.67","96.50M","0.55%"
"2014年2月13日","183.01","180.84","183.20","180.83","100.54M","0.52%"
"2014年2月12日","182.07","182.25","182.83","181.71","94.72M","0.05%"
"2014年2月11日","181.98","180.16","182.44","180.04","117.81M","1.09%"
"2014年2月10日","180.01","179.70","180.07","179.21","92.22M","0.18%"
"2014年2月7日","179.68","178.31","179.87","177.73","170.79M","1.24%"
"2014年2月6日","177.48","175.58","177.48","175.22","132.88M","1.32%"
"2014年2月5日","175.17","174.78","175.56","173.71","164.23M","-0.12%"
"2014年2月4日","175.38","174.95","175.84","174.11","165.01M","0.69%"
"2014年2月3日","174.17","177.97","178.37","173.83","254.84M","-2.25%"
"2014年1月31日","178.18","177.01","179.29","176.92","194.68M","-0.59%"
"2014年1月30日","179.23","178.83","179.81","178.26","118.94M","1.06%"
"2014年1月29日","177.35","177.58","178.55","176.88","216.60M","-0.96%"
"2014年1月28日","179.07","178.14","179.30","178.12","110.46M","0.60%"
"2014年1月27日","178.01","179.06","179.52","177.12","180.84M","-0.49%"
"2014年1月24日","178.89","181.60","181.66","178.83","208.68M","-2.13%"
"2014年1月23日","182.79","183.37","183.40","181.82","132.50M","-0.82%"
"2014年1月22日","184.30","184.49","184.57","183.91","61.27M","0.07%"
"2014年1月21日","184.18","184.70","184.77","183.05","88.62M","0.30%"
"2014年1月17日","183.63","184.10","184.45","183.32","107.85M","-0.43%"
"2014年1月16日","184.42","184.28","184.66","183.83","72.29M","-0.13%"
"2014年1月15日","184.66","184.10","184.94","183.71","98.53M","0.54%"
"2014年1月14日","183.67","182.29","183.77","181.95","105.02M","1.09%"
"2014年1月13日","181.69","183.67","184.18","181.34","149.89M","-1.33%"
"2014年1月10日","184.14","183.95","184.22","183.01","102.03M","0.27%"
"2014年1月9日","183.64","184.11","184.13","182.79","90.68M","0.07%"
"2014年1月8日","183.52","183.45","183.83","182.89","96.58M","0.02%"
"2014年1月7日","183.48","183.09","183.79","182.95","86.14M","0.61%"
"2014年1月6日","182.36","183.49","183.56","182.08","108.03M","-0.28%"
"2014年1月3日","182.88","183.23","183.60","182.63","81.39M","-0.02%"
"2014年1月2日","182.92","183.98","184.07","182.48","119.64M","-0.96%"
"2013年12月31日","184.69","184.07","184.69","183.93","86.25M","0.47%"
"2013年12月30日","183.82","183.87","184.02","183.58","56.86M","-0.01%"
"2013年12月27日","183.84","184.10","184.18","183.66","61.81M","-0.01%"
"2013年12月26日","183.85","183.34","183.96","183.32","63.37M","0.50%"
"2013年12月24日","182.93","182.54","183.01","182.53","45.37M","0.22%"
"2013年12月23日","182.53","182.45","182.64","182.06","85.60M","0.53%"
"2013年12月20日","181.56","180.69","181.99","180.57","197.09M","0.04%"
"2013年12月19日","181.49","181.18","181.70","180.71","136.30M","-0.12%"
"2013年12月18日","181.70","178.92","181.73","177.32","234.91M","1.71%"
"2013年12月17日","178.65","179.38","179.41","178.25","89.89M","-0.32%"
"2013年12月16日","179.22","178.95","179.81","178.90","96.19M","0.62%"
"2013年12月13日","178.11","178.50","178.66","177.77","107.81M","-0.01%"
"2013年12月12日","178.13","178.64","178.86","177.76","115.56M","-0.33%"
"2013年12月11日","178.72","180.82","180.85","178.50","130.59M","-1.12%"
"2013年12月10日","180.75","180.98","181.36","180.63","80.98M","-0.36%"
"2013年12月9日","181.40","181.47","181.67","181.16","70.12M","0.25%"
"2013年12月6日","180.94","180.67","181.11","180.15","127.73M","1.12%"
"2013年12月5日","178.94","179.41","179.74","178.77","106.93M","-0.44%"
"2013年12月4日","179.73","179.10","180.48","178.35","123.03M","-0.01%"
"2013年12月3日","179.75","179.94","180.39","179.17","116.56M","-0.43%"
"2013年12月2日","180.53","181.09","181.43","180.25","99.73M","-0.26%"
"2013年11月29日","181.00","181.32","181.75","180.80","55.87M","-0.07%"
"2013年11月27日","181.12","180.87","181.24","180.65","58.80M","0.24%"
"2013年11月26日","180.68","180.72","181.22","180.41","86.99M","0.03%"
